20221213	20:56:50	3a3c98ee-3f87-4c2b-a48c-272deba22430	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:57:14	0081e260-27c9-4f2a-93bf-8c8f2a5ab709	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:57:21	db98ff9a-4eac-47f3-a0cd-5a5e01134a46	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	21:00:06	07b5e8bd-783f-4647-aca0-daa27b7a538a	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	21:01:03	10b07699-f382-4f85-93a4-147ee0329d0e	ObjectParameterError	Parameter "filter" to updateOne() must be an object, got 6397e5921fcabcd0d15dfc1a	PATCH	/employees/id	undefined
20221213	21:04:15	13074a32-6398-4601-9105-70d42ea4ed0f	CastError	Cast to [ObjectId] failed for value "[ '[req.body.invoices]' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:04:36	e630c786-9ed7-43e4-81bb-d59edcbe6d78	CastError	Cast to [ObjectId] failed for value "[ 'req.body.invoices' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:04:47	d2dc49b2-66e4-49a7-a69f-98304ae4630a	CastError	Cast to [ObjectId] failed for value "[ 'req.body.invoices' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:04:58	bee16261-05f2-4a39-889a-b724dfa4e2c7	CastError	Cast to [ObjectId] failed for value "[ 'req.body.invoices' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:05:08	b0a81986-f98b-4853-a95d-9c772e81c531	CastError	Cast to [ObjectId] failed for value "[ 'req.body.invoices' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:05:45	334bff0f-e95f-4ed0-aaf5-63c95b972250	CastError	Cast to [ObjectId] failed for value "[ 'req.body.invoices' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
20221213	21:30:53	de165ce2-d6f4-4687-a3e1-75448fac5644	SyntaxError	Unexpected string in JSON at position 32	PATCH	/employees/id	undefined
20221213	21:30:58	9359e18c-1ebb-4a4e-874c-8b77c6086a19	CastError	Cast to ObjectId failed for value "{ id: '6397e5921fcabcd0d15dfc1a' }" (type Object) at path "_id" for model "Employee"	PATCH	/employees/id	undefined
